,机构名字,所属地区,电话,地址,所属省,所属市,所属区,所属地址,adcode,地址省,地址市,地址区,具体地址,adcode_address
0,北京爱普益医学检验中心,北京市大兴区,010-59773700010-59773999010-59773708,北京经济技术开发区地盛东路1号院,北京市,市辖区,大兴区,,110115,北京市,,,经济技术开发区地盛东路1号院,110000
1,北京安诺优达医学检验实验室,北京市大兴区,4008986989,北京市经济技术开发区科创六街88号院生物医药园,北京市,市辖区,大兴区,,110115,北京市,,,经济技术开发区科创六街88号院生物医药园,110000
2,北京奥康华医学检验所,北京市顺义区,4006039003,北京市顺义区裕华路28号2号楼东一层,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,裕华路28号2号楼东一层,110113
3,北京北基医学检验实验室,北京市海淀区,010-58937188,北京市海淀区丰贤中路7号孵化楼B座128,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,丰贤中路7号孵化楼B座128,110108
4,北京北亚骨科医院,北京市房山区,010-60306536,北京市房山区长阳昊天北大街20号,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,长阳昊天北大街20号,110111
5,北京贝瑞和康医学检验实验室,北京市朝阳区,4006108005,北京市朝阳区京顺东街6号院9号楼,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,京顺东街6号院9号楼,110105
6,北京博爱医院,北京市丰台区,010-87569107,北京市丰台区角门北路10号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,角门北路10号,110106
7,北京博奥医学检验所,北京市大兴区,400-9968-999,北京市大兴区科创六街88号院亦庄生物医药园D1D2座,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,科创六街88号院亦庄生物医药园D1D2座,110115
8,北京博尔诚医学检验所,北京经济开发区,4006408820,北京市经济技术开发区宏达南路18号2号楼101-201,北京市,,,经济开发区,110000,北京市,,,经济技术开发区宏达南路18号2号楼101-201,110000
9,北京博昊云天医学检验实验室,北京市大兴区,18612905619,北京市大兴区中关村科技园区大兴生物医药产业基地天荣街9号3号楼2层,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,中关村科技园区大兴生物医药产业基地天荣街9号3号楼2层,110115
10,北京博仁医院,北京市丰台区,010-83605002,北京市丰台区郑王坟南六号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,郑王坟南六号,110106
11,北京朝阳急诊抢救中心,北京市朝阳区,010-59632127,北京市朝阳区弘燕南一路周庄家园27号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,弘燕南一路周庄家园27号,110105
12,北京朝阳中西医结合急诊抢救中心,北京市朝阳区,010-87929688,北京市朝阳区十八里店乡周家庄村123号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,十八里店乡周家庄村123号,110105
13,北京大学第三医院,北京市海淀区,010-82264770,北京市海淀区花园北路49号,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,花园北路49号,110108
14,北京大学第一医院,北京市西城区,010-83572345,北京市西城区西什库大街8号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,西什库大街8号,110102
15,北京大学国际医院,北京市昌平区,010-69006900,北京市昌平区生命园路1号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,生命园路1号,110114
16,北京大学人民医院,北京市西城区,010-88326300,北京市西城区西直门南大街11号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,西直门南大街11号,110102
17,北京大学首钢医院,北京市石景山区,010-57830539,北京市石景山区晋元庄路9号,北京市,市辖区,石景山区,,110107,北京市,市辖区,石景山区,晋元庄路9号,110107
18,北京大学医院,北京市海淀区,010-62754213,北京市海淀区颐和园路5号,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,颐和园路5号,110108
19,北京德威铭达医学检验所,北京市顺义区,010-56467656,北京市顺义区南彩镇茂华工场3号楼301,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,南彩镇茂华工场3号楼301,110113
20,北京迪安医学检验实验室有限公司,北京市大兴区,4007118000010-59703500,北京市大兴区中关村大兴生物医药产业基地天富大街9号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,中关村大兴生物医药产业基地天富大街9号,110115
21,北京儿童医院顺义妇儿医院（北京市顺义区妇幼保健院）,北京市顺义区,010-89449200,北京市顺义区顺康路1号,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,顺康路1号,110113
22,北京泛生子医学检验实验室,北京市昌平区,17501123724,北京市昌平区中关村生命科学园生命园路8号院1区11号楼1层,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,中关村生命科学园生命园路8号院1区11号楼1层,110114
23,北京丰台医院,北京市丰台区,13391633610,北京市丰台区丰台南路99号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,丰台南路99号,110106
24,北京光熙康复医院,北京市朝阳区,010-64281068,北京市朝阳区光熙门北里22号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,光熙门北里22号,110105
25,北京海思特医学检验实验室,北京经济开发区,010-67871322,北京经济技术开发区地盛北街1号3号楼、4号楼,北京市,,,经济开发区,110000,北京市,,,经济技术开发区地盛北街1号3号楼、4号楼,110000
26,北京航天总医院,北京市丰台区,010-68754024,北京市丰台区万源北路7号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,万源北路7号,110106
27,北京和合医学检验所,北京市通州区,010-84241370,北京市通州区经济技术开发区经海六路5号院14号楼,北京市,市辖区,通州区,,110112,北京市,市辖区,通州区,经济技术开发区经海六路5号院14号楼,110112
28,北京和睦家医院,北京市朝阳区,4008919191,北京市朝阳区将台路2号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,将台路2号,110105
29,北京核工业医院,北京市房山区,010-60387564,北京市房山区新镇东平街,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,新镇东平街,110111
30,北京核子华曦医学检验实验室有限公司,北京市亦庄经济技术开发区,15313228913,北京市亦庄经济技术开发区经海四路156号院6号楼1层,北京市,,,亦庄经济技术开发区,110000,北京市,,,亦庄经济技术开发区经海四路156号院6号楼1层,110000
31,北京弘泰嘉业医学检验所,北京经济开发区,13701367975,北京市经济技术开发区科创十四街20号院14号楼B单元,北京市,,,经济开发区,110000,北京市,,,经济技术开发区科创十四街20号院14号楼B单元,110000
32,北京华大医学检验所,北京市顺义区,4006056655,北京市顺义区裕华路28号,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,裕华路28号,110113
33,北京华诺奥美医学检验实验室,北京市丰台区,18618168126,北京市丰台区外环西路26号院53号楼,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,外环西路26号院53号楼,110106
34,北京华泰益康医学检验实验室,北京市大兴区,400668839613911753303,北京市大兴区生物产业医药基地天富大厦9号4幢1层,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,生物产业医药基地天富大厦9号4幢1层,110115
35,北京华信医院,北京市朝阳区,010-64308129,北京市朝阳区酒仙桥一街坊6号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,酒仙桥一街坊6号,110105
36,北京怀柔医院,北京市怀柔区,010-61615117,北京市怀柔区永泰北街9号院,北京市,市辖区,怀柔区,,110116,北京市,市辖区,怀柔区,永泰北街9号院,110116
37,北京积水潭医院（回龙观院区）,北京市昌平区,010-58398375,北京市昌平区回龙观镇回南北路68号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,回龙观镇回南北路68号,110114
38,北京积水潭医院（西城院区）,北京市西城区,010-58516484,北京市西城区新街口东街31号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,新街口东街31号,110102
39,北京基石医学检验实验室,北京市海淀区,010-62673291,北京市海淀区西山文化创意园4区11号楼西段1层,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,西山文化创意园4区11号楼西段1层,110108
40,北京吉因加医学检验实验室有限公司,北京市昌平区,010-86486996,北京市昌平区北大医疗产业园2号楼5层,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,北大医疗产业园2号楼5层,110114
41,北京家恩德仁医院,北京市朝阳区,010-52802345,北京市朝阳区来广营乡刘各庄甲二号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,来广营乡刘各庄甲二号,110105
42,北京家圆医院,北京市西城区,010-66117776,北京市西城区赵登禹路富国街2号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,赵登禹路富国街2号,110102
43,北京嘉宝医学检验实验室,北京市大兴区,010-68056969,北京市大兴区天荣街19号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,天荣街19号,110115
44,北京健为医学检验实验室,北京市昌平区,13811525117,北京市昌平区回龙观镇科学园路30号院5层501,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,回龙观镇科学园路30号院5层501,110114
45,北京健为医学检验实验室有限公司,北京市昌平区,13811525117,北京市昌平区回龙观镇科学园路30号院5层501,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,回龙观镇科学园路30号院5层501,110114
46,北京结核病控制研究所,北京市西城区,18911399122,北京市西城区东光胡同5号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,东光胡同5号,110102
47,北京金域医学检验实验室,北京市朝阳区,010-84356883-210213311560170,北京市朝阳区京顺东街6号院26号楼,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,京顺东街6号院26号楼,110105
48,北京京北健永口腔医院,北京市怀柔区,010-69633292,北京市怀柔区滨湖南街6号,北京市,市辖区,怀柔区,,110116,北京市,市辖区,怀柔区,滨湖南街6号,110116
49,北京京都儿童医院,北京市昌平区,010-69787777,北京市昌平区回龙观东大街308号院,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,回龙观东大街308号院,110114
50,北京京煤集团总医院,北京市门头沟区,010-69820541,北京市门头沟区黑山大街18号,北京市,市辖区,门头沟区,,110109,北京市,市辖区,门头沟区,黑山大街18号,110109
51,北京京顺医院,北京市顺义区,010-69423999,北京市顺义区府前西街15号,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,府前西街15号,110113
52,北京晶科瑞医学检验实验室,北京市昌平区,010-61701686,北京市昌平区立业路7号1号楼5层,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,立业路7号1号楼5层,110114
53,北京精诚博爱康复医院,北京市朝阳区,010-53220322,北京市朝阳区崔各庄乡南皋路188号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,崔各庄乡南皋路188号,110105
54,北京径准医学检验实验室,北京市海淀区,010-62469326,北京市海淀区高里掌路3号院23号楼,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,高里掌路3号院23号楼,110108
55,北京凯昂医学检验实验室,北京市海淀区,18510048816,北京市海淀区中关村翠湖科技园云中心17号楼2单元3层,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,中关村翠湖科技园云中心17号楼2单元3层,110108
56,北京凯普医学检验实验室,北京市昌平区,010-56918025,北京市昌平区科技园区生命园路8号院15号楼一层东侧,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,科技园区生命园路8号院15号楼一层东侧,110114
57,北京康美天鸿医学检验实验室,北京市海淀区,4006665603,北京市海淀区高里掌路1号院16号楼,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,高里掌路1号院16号楼,110108
58,北京康旭医学检验所有限公司,北京市海淀区,13621316934,北京市海淀区杏石口路益园文化创意产业基地C区（西杉创意园四区）10号楼二层201-203,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,杏石口路益园文化创意产业基地C区（西杉创意园四区）10号楼二层201-203,110108
59,北京老年医院,北京市海淀区,010-83183597,北京市海淀区温泉镇温泉路118号,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,温泉镇温泉路118号,110108
60,北京乐土医学检验实验室,北京市昌平区,4006698988,北京市昌平区回龙观镇中关村生命科学园生命园路8号院一区15号楼3层306,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,回龙观镇中关村生命科学园生命园路8号院一区15号楼3层306,110114
61,北京陆道培医院,北京经济开发区,4006163211,北京市北京经济技术开发区同济南路22号,北京市,,,经济开发区,110000,北京市,,,经济技术开发区同济南路22号,110000
62,北京洛奇医学检验实验室股份有限公司,北京市昌平区,010-80720625,北京市中关村生命科学园29号D座101,北京市,市辖区,昌平区,,110114,北京市,,,中关村生命科学园29号D座101,110000
63,北京迈基诺基因科技有限责任公司医学检验所,北京市顺义区,4000035255,北京市顺义区空港工业B区安庆大街9号院内12幢A座一层01房,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,空港工业B区安庆大街9号院内12幢A座一层01房,110113
64,北京美汇医学检验试验室有限公司,北京市朝阳区,010-50967962,北京市朝阳区东四环南路53号院6号楼301,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,东四环南路53号院6号楼301,110105
65,北京美因医学检验实验室,北京市海淀区,400-008-0280,北京市海淀区花园北路35号9号楼4层421,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,花园北路35号9号楼4层421,110108
66,北京明谛生物医药科技有限公司明谛医学检验实验室,北京市丰台区,15210130862,北京市丰台区航丰路11号2层,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,航丰路11号2层,110106
67,北京普康瑞仁医学检验所,北京市顺义区,010-50933695,北京市顺义区顺捷大厦B座8层,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,顺捷大厦B座8层,110113
68,北京谱尼医学检验实验室,北京市海淀区,010-83055000400-819-5688,北京市海淀区锦带路66号院1号楼5层101,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,锦带路66号院1号楼5层101,110108
69,北京清华长庚医院,北京市昌平区,010-56119560,北京市昌平区立汤路168号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,立汤路168号,110114
70,北京全谱医学检验实验室,北京经济开发区,4000108066,北京市北京经济技术开发区亦庄生物医药园E2楼一层,北京市,,,经济开发区,110000,北京市,,,经济技术开发区亦庄生物医药园E2楼一层,110000
71,北京善通医学检验实验室,北京市房山区,15110079923,北京市房山区拱辰街道办事处学园北街道11号楼综合服务楼一层,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,拱辰街道办事处学园北街道11号楼综合服务楼一层,110111
72,北京圣马克医院,北京市朝阳区,010-50967777,北京市朝阳区东四环南路53号林达海渔广场5号楼,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,东四环南路53号林达海渔广场5号楼,110105
73,北京市昌平区妇幼保健院,北京市昌平区,010-69746091,北京市昌平区北环路东1号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,北环路东1号,110114
74,北京市昌平区疾病预防控制中心,北京市昌平区,010-69742645,北京市昌平区鼓楼北街7号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,鼓楼北街7号,110114
75,北京市昌平区结核病防治所,北京市昌平区,010-69741753,北京市昌平区城北八街和平街4号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,城北八街和平街4号,110114
76,北京市昌平区沙河医院,北京市昌平区,010-80728210,北京市昌平区沙河镇扶京门路22号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,沙河镇扶京门路22号,110114
77,北京市昌平区医院,北京市昌平区,010-80115737,北京市昌平区鼓楼北街9号,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,鼓楼北街9号,110114
78,北京市昌平区中医医院,北京市昌平区,010-69712341,北京市昌平区东环路南段,北京市,市辖区,昌平区,,110114,北京市,市辖区,昌平区,东环路南段,110114
79,北京市朝阳区桓兴肿瘤医院,北京市朝阳区,010-87693395,北京市朝阳区十八里店吕家营南里甲1号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,十八里店吕家营南里甲1号,110105
80,北京市朝阳区疾病预防控制中心,北京市朝阳区,010-87789709,北京市朝阳区潘家园华威里25号楼,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,潘家园华威里25号楼,110105
81,北京市朝阳区三环肿瘤医院,北京市朝阳区,010-67471310,北京市朝阳区十里河352号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,十里河352号,110105
82,北京市朝阳区双桥医院,北京市朝阳区,13811237124,北京市朝阳区双桥东路双桥医院；北京市朝阳区司辛庄南街8号杰诚大厦（北院区）,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,双桥东路双桥医院；北京市朝阳区司辛庄南街8号杰诚大厦（北院区）,110105
83,北京市垂杨柳医院,北京市朝阳区,010-67700409,北京市朝阳区垂杨柳南街2号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,垂杨柳南街2号,110105
84,北京市大兴区妇幼保健院,北京市大兴区,010-69252081-8000,北京市大兴区兴丰大街三段56号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,兴丰大街三段56号,110115
85,北京市大兴区疾病预防控制中心,北京市大兴区,010-69243653,北京市大兴区黄村西大街33号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,黄村西大街33号,110115
86,北京市大兴区人民医院,北京市大兴区,010-60283006,北京市大兴区黄村西大街26号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,黄村西大街26号,110115
87,北京市大兴区心康医院,北京市大兴区,010-61212957,北京市大兴区黄村镇黄良路口北侧,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,黄村镇黄良路口北侧,110115
