YEAR,WORDSUM,SEX,RACE,EDUC,AGE
1974,9,1,1,14,21
1974,9,1,1,16,41
1974,9,2,1,10,83
1974,5,2,1,10,69
1974,8,2,1,12,58
1974,8,1,1,16,30
1974,9,1,1,17,48
1974,5,1,1,10,67
1974,3,2,1,12,51
1974,5,2,1,11,54
1974,5,1,2,6,89
1974,5,1,2,5,71
1974,6,2,2,11,27
1974,5,2,2,12,30
1974,5,2,2,14,22
1974,1,1,1,12,23
1974,4,1,1,8,63
1974,1,1,1,0,80
1974,1,2,1,8,71
1974,3,2,2,10,48
1974,5,1,2,8,25
1974,6,1,2,12,72
1974,1,2,2,3,73
1974,5,2,2,8,31
1974,5,2,2,3,65
1974,2,1,1,9,59
1974,7,1,1,15,53
1974,4,2,1,7,60
1974,5,2,1,12,54
1974,7,2,1,13,35
1974,6,1,1,12,51
1974, ,1,1,8,58
1974,3,2,1,12,21
1974,4,2,1,8,72
1974,6,2,3,12,48
1974,6,1,1,10,26
1974,8,1,1,14,39
1974,8,2,1,12,58
1974,6,2,1,8,40
1974,9,2,1,16,23
1974,8,1,1,16,28
1974,9,1,1,17,47
1974,8,1,1,13,67
1974,5,2,1,12,54
1974,7,2,1,12,50
1974,6,1,1,14,32
1974,6,1,1,13,67
1974,2,1,1,10,70
1974,3,2,1,8,36
1974,6,2,1,12,57
1974,5,1,1,14,22
1974,5,1,1,14,58
1974,8,2,1,12,71
1974,8,2,1,14,83
1974,7,2,1,15,52
1974,3,1,2,14,59
1974,2,1,2,5,83
1974,3,2,2,8,67
1974,4,2,2,9,61
1974,1,2,2,14,55
1974,6,1,1,12,57
1974,4,1,1,12,52
1974,6,2,1,13,69
1974,6,2,1,12,40
1974,6,2,1,11,63
1974,8,1,1,16,24
1974,8,1,1,17,72
1974,9,1,1,14,51
1974,10,2,1,16,29
1974,10,2,1,16,29
1974,4,1,1,11,18
1974,5,1,1,12,54
1974,6,2,1,12,36
1974, ,2,1,12,27
1974,7,2,1,11,66
1974,9,1,1,12,66
1974,2,1,1,12,39
1974,5,1,1,12,37
1974,4,2,1,8,52
1974,6,2,1,7,71
1974,5,1,1,11,66
1974,5,1,1,12,52
1974,8,2,1,11,52
1974,5,2,1,12,50
1974,8,2,1,13,32
1974,9,1,1,20,32
1974,10,1,1,16,58
1974,3,2,1,9,45
1974,6,2,1,12,31
1974,9,2,1,16,29
1974,4,1,1,11,30
1974,1,1,1,4,65
1974,3,2,1,9,30
1974,3,2,1,10,22
1974,6,2,1,14,23
1974,2,1,1,11,18
1974,5,1,1,7,65
1974,4,1,1,3,43
1974,4,2,1,10,30
1974,5,2,1,12,21
1974,9,1,1,16,26
1974,4,1,1,10,55
1974,5,1,1,15,37
1974,6,2,1,14,23
1974,8,2,1,12,34
1974,9,1,1,14,27
1974,3,1,2,14,42
1974,6,1,1,12,43
1974,4,2,1,12,19
1974,6,2,2,16,44
1974,6,1,1,20,28
1974,10,1,1,16,56
1974,6,1,1,18,58
1974,6,2,1,12,53
1974,3,2,1,12,25
1974,6,1,1,12,31
1974,10,1,1,20,54
1974,7,2,1,12,28
1974,6,2,1,17,27
1974, ,2,1,12, 
1974,6,1,1,11,50
1974,7,1,1,12,50
1974,5,2,1,12,68
1974,4,2,1,8,27
1974,4,2,1,12,20
1974,2,1,1,12,27
1974,6,1,1,16,23
1974,3,1,1,9,43
1974,4,2,1,11,48
1974,5,2,1,15,42
1974,1,1,2,11,22
1974,5,1,2,13,45
1974,4,2,2,8,78
1974,6,2,2,16,66
1974,6,2,2,13,30
1974,3,1,1,10,31
1974,6,1,1,12,38
1974,8,2,1,10,57
1974,5,2,1,12,27
1974,5,2,1,7,31
1974,3,1,1,8,23
1974,6,1,1,9,64
1974,5,2,1,12,21
1974,7,2,1,12,20
1974,4,2,1,12,22
1974,9,1,1,16,31
1974,9,1,1,19,54
1974,9,1,1,18,38
1974,8,2,1,13,66
1974,10,2,1,15,43
1974,6,1,1,11,22
1974,7,1,1,13,33
1974,10,1,1,20,50
1974,5,2,1,12,42
1974,8,2,1,13,39
1974,7,1,1,16,26
1974,9,1,1,12,60
1974,9,1,1,14,51
1974,10,2,1,16,28
1974,10,2,1,10,60
1974,6,1,1,13,31
1974,6,1,1,8,44
1974,7,2,1,13,32
1974,6,2,1,12,45
1974,8,2,1,14,31
1974,5,1,1,12,21
1974,6,1,1,7,67
1974,9,2,1,9,76
1974,9,2,1,11,53
1974,7,2,1,12,53
1974,5,1,1,13,32
1974,8,1,1,12,49
1974,7,2,1,12,48
1974,5,2,1,11,19
1974,7,2,1,20,43
1974,7,1,1,20,48
1974,8,1,1,16,42
1974,8,2,1,15,38
1974,5,2,1,13,42
1974,8,2,1,12,39
1974,4,1,1,14,24
1974,4,1,1,14,45
1974,7,2,1,10,55
1974,5,2,1,10,48
1974,6,2,1,12,22
1974,6,1,1,12,31
1974,5,1,1,10,72
1974,5,2,1,12,23
1974,6,2,1,13,54
1974,8,2,1,15,38
1974,5,1,2,11,56
1974,6,1,2,8,62
1974,4,2,2,11,41
1974,4,2,2,10, 
1974,3,2,2,15,30
1974,4,1,1,9,21
1974,6,1,1,16,37
1974, ,2,3,8,27
1974,9,2,1,13,24
1974,4,2,1,12,23
1974,6,1,1,11,69
1974,1,1,1,12,44
1974,2,2,1,12,65
1974,10,2,1,15,55
1974,7,2,1,8,59
1974,6,1,1,20,43
1974,6,1,1,10,52
1974,7,2,1,12,54
1974,10,2,1,16,43
1974,10,2,1,14,46
1974,5,1,1,6,72
1974,8,1,1,11,68
1974,10,2,1,16,69
1974,6,2,1,8,64
1974,6,2,1,12,48
1974,4,1,1,12,29
1974,3,1,1,8,70
1974,3,1,1,8,80
1974,5,2,1,10,61
1974,3,2,1,10,33
1974,9,1,1,16,26
1974,9,1,1,18,36
1974,6,1,1,12,53
1974,8,2,1,17,56
1974,8,2,1,12,54
1974,4,1,1,12,35
1974,7,1,1,12,49
1974,4,1,1,7,69
1974,7,2,3,13,38
1974,9,2,1,16,75
1974,6,1,1,12,35
1974,2,1,1,4,66
1974,4,1,1,8,74
1974,4,2,1,6,80
1974,6,2,1,11,34
1974,3,1,1,12,22
1974,10,1,1,13,52
1974,9,2,1,12,81
1974,7,2,1,10,25
1974,4,2,1,12,19
1974,5,1,1,13,23
1974,4,1,1,11,20
1974,3,1,1,7,74
1974,8,2,1,9,45
1974,9,2,1,16,61
1974,9,1,1,20,71
1974,10,1,1,17,47
1974,10,2,1,12,67
1974,9,2,1,16,28
1974,6,2,1,12,59
1974,4,1,1,8,31
1974,9,1,1,18,36
1974,2,2,1,13,30
1974,6,2,1,13,38
1974,4,2,1,10,25
1974,8,1,1,11,18
1974,8,1,1,10,59
1974,3,1,1,9,59
1974,4,2,1,11,74
1974,5,2,1,12,44
1974,7,1,1,13,35
1974,4,1,1,8,75
1974, ,2,1,8,89
1974,5,2,1,13,20
1974,5,2,1,12,72
1974,5,1,1,7,57
1974,5,1,1, ,38
1974,3,2,1,12,36
1974,7,2,1,12,53
1974,5,2,1,8,55
1974,4,1,1,11,60
1974,7,1,1,18,56
1974,7,2,1,12,32
1974,6,2,1,9,50
1974,9,2,1,12,39
1974,8,1,1,14,56
1974,8,1,1,15,52
1974,5,2,1,12,52
1974,8,2,1,12,67
1974,7,2,1,12,52
1974,3,1,1,0,47
1974,7,1,1,16,69
1974,5,2,1,9,51
1974,7,2,1,12,26
1974,7,2,1,12,24
1974,7,1,1,14,24
1974,10,1,1,11,67
1974,9,1,1,8,72
1974,1,2,2,12,33
1974,6,2,1,12,49
1974,8,1,1,13,33
1974,7,1,1,12,39
1974,8,2,1,10,57
1974,8,2,1,12,25
1974,6,1,2,14,27
1974,7,1,2,12,42
1974,6,1,1,12,43
1974,10,2,1,12,62
1974,10,2,1,17,26
1974,4,1,1,8,69
1974,9,1,1,19,41
1974,9,2,1,12,41
1974,8,2,1,15,30
1974,10,2,1,13,47
1974,5,1,1,12,32
1974,5,1,2,12,61
1974,7,1,2,12,61
1974,7,2,1,12,39
1974,6,2,2,13,28
1974,9,1,1,12,31
1974,5,1,1,12,29
1974,5,1,1,12,61
1974,6,2,1,12,42
1974,4,2,1,12,23
1974,7,1,1,12,28
1974,6,1,1,12,42
1974, ,2,1,9, 
1974,6,2,1,16,34
1974,5,2,1,12,25
1974,5,1,1,13,20
1974,5,1,1,18,43
1974,8,2,1,15,32
1974,4,2,1,12,29
1974,7,1,1,16,27
1974,7,1,1,18,52
1974,6,2,1,14,28
1974,6,2,1,12,24
1974,8,2,1,13,25
1974,7,1,1,11,73
1974,5,1,1,8,54
1974,4,2,1,6,70
1974,8,2,1,14,51
1974,10,2,1,15,58
1974,7,1,2,12,21
1974,2,1,2,3,50
1974,3,2,2,6,65
1974,4,2,1,7,45
1974,4,2,1,8,26
1974,7,1,1,14,31
1974,7,1,1,13,42
1974,7,2,1,12,59
1974,4,2,3,8,66
1974,9,2,1,12,59
1974,6,1,1,12,30
1974,7,1,1,16,51
1974,7,1,1,16,51
1974,10,2,1,14,40
1974,9,2,1,14,55
1974,4,1,2,12,30
1974,4,1,2,12,54
1974,5,2,2,12,30
1974,6,2,2,12,30
1974,4,2,2,10,54
1974,7,1,1,13,27
1974,3,1,1,7,78
1974,7,1,1,7,72
1974,5,2,1,11,19
1974,4,2,1,12,46
1974,7,1,1,13,26
1974,6,1,1,10,76
1974,10,1,1,17,57
1974,9,2,1,18,43
1974,9,2,1,12,60
1974,1,1,1,11,22
1974,6,1,1,8,53
1974,5,2,1,5,81
1974,4,2,1,8,57
1974,6,2,1,13,25
1974,5,1,1,12,18
1974,4,1,1,12,61
1974,5,1,1,8,59
1974,6,2,1,12,52
1974,5,2,1,15,61
1974,2,1,2,12,30
1974,6,1,2,4,50
1974,3,2,2,6,38
1974,5,2,2,12,31
1974,6,2,2,18,44
1974,9,1,1,14,47
1974,7,1,1,10,88
1974,8,2,1,15,80
1974,6,2,1,11,18
1974,10,2,1,15,66
1974,6,1,1,14,20
1974,7,1,1,13,72
1974,6,2,1,12,72
1974,4,2,1,13,42
1974,4,2,1,12,19
1974,10,1,1,17,34
1974,7,1,1,18,63
1974,8,1,1,18,62
1974,4,2,1,12,53
1974,9,2,1,18,60
1974,3,1,2,10,27
1974,7,1,2,6,45
1974,2,1,2,6,67
1974,5,2,2,7,63
1974,4,2,2,11,39
1974, ,1,1,4,33
1974,6,1,1,13,63
1974,6,2,1,12,39
1974,5,2,1,10,42
1974,3,2,1,8,37
1974,6,1,1,16,29
1974,7,1,1,12,24
1974,8,1,1,19,72
1974,10,2,1,12,76
1974,10,2,1,17,54
1974,4,1,2,9,40
1974,3,1,2,5,51
1974,4,2,2,8,33
1974,6,2,2,6,59
1974,2,2,2,5,47
1974,6,1,1,12,26
1974,8,1,1,8,80
1974,5,1,1,8,64
1974,5,2,1,8,65
1974,5,2,1,12,61
1974,8,1,1,14,21
1974,7,1,1,14,40
1974,2,1,1,5,74
1974,5,2,1,12,38
1974,7,2,1,16,27
1974,10,1,1,18,26
1974,8,1,1,16,51
1974,10,2,1,14,51
1974,9,2,1,14,44
1974,7,2,1,17,47
1974,3,1,1,10,27
1974,9,1,1,10,45
1974,7,2,1,12,53
1974,9,2,1,12,22
1974,6,2,1,12,51
1974,10,1,1,14,20
1974,9,1,1,16,76
1974,9,1,1,16,69
1974,4,2,2,10,39
1974,5,2,1,10,47
1974,6,1,1,12,19
1974,4,1,1,8,56
1974,9,1,1,12,57
1974,6,2,1,12,20
1974,7,2,1,13,49
1974,3,1,1,9,23
1974,7,1,1,12,56
1974,6,2,1,10,25
1974,10,2,1,12,65
1974,5,2,1,11,56
1974,10,1,1,16,26
1974,8,1,1,20,36
1974,6,2,1,5,79
1974,6,2,1,12,60
1974,4,2,1,14,54
1974,6,1,2,15,30
1974,7,1,1,16,25
1974,1,1,1,10,70
1974,6,2,1,12,23
1974,5,2,1,12,20
1974,8,2,1,9,46
1974,10,1,1,16,43
1974,9,1,1,16,36
1974,7,2,1,16,24
1974,9,2,1,16,24
1974,10,2,1,16,30
1974,7,1,1,12,27
1974,6,1,1,12,51
1974,6,2,1,12,36
1974,3,2,1,9,78
1974,6,2,1,13,30
1974,6,1,2,16,26
1974,7,1,2,11,38
1974,8,2,2,10,42
1974,5,2,1,11,31
1974,7,2,1,14,21
1974,5,1,1,12,31
1974,7,1,1,12,63
1974,5,2,1,12,31
1974,4,2,1,11,40
1974,1,2,3,12,43
1974,3,1,2,10,47
1974,4,1,2,10,48
1974,3,2,2,11,44
1974,4,2,2,13,34
1974,4,2,2,13,42
1974,6,1,1,13,26
1974,5,1,1,13,76
1974,6,1,1,12,42
1974,7,2,1,12,38
1974,6,2,1,15,56
1974,6,1,1,12,28
1974,7,1,1,15,39
1974, ,2,1,12,52
1974,6,2,2,13,21
1974,6,2,1,12,21
1974,5,1,2,11,18
1974,7,1,2,13,37
1974,7,2,2,15,48
1974,5,2,2,10,28
1974,3,2,2,12,23
1974,6,1,1,12,22
1974,5,1,1,9,73
1974,5,2,1,8,86
1974,6,2,1,11,32
1974,4,2,1,11,46
1974,7,1,1,12,23
1974,8,1,1,12,40
1974,7,2,1,12,32
1974,4,2,1,10,32
1974,7,2,1,12,31
1974,7,1,1,13,33
1974,5,1,1,12,48
1974,9,1,1,13,73
1974,9,2,1,12,43
1974,9,2,1,12,51
1974,5,1,1,14,24
1974,7,1,1,8,43
1974,5,2,1,8,65
1974,9,2,1,12,73
1974,9,2,1,16,70
1974,9,1,1,20,35
1974,5,1,1,10,38
1974,6,1,1,9,41
1974,6,2,1,12,34
1974,6,2,2,12,31
1974,5,1,1,12,26
1974,4,1,1,5,57
1974,7,1,1,9,42
1974,5,2,1,10,47
1974,6,2,1,9,27
1974,6,1,2,13,38
1974,8,1,1,10,72
1974,9,2,1,12,38
1974,8,2,1,12,66
1974,8,2,1,14,20
1974,5,1,1,12,23
1974,8,1,1,16,46
1974,8,2,1,16,28
1974,8,2,1,14,28
1974,8,2,1,16,31
1974,3,1,2,12,32
1974,4,1,2,9,46
1974,3,2,2,15,29
1974,7,2,2,13,37
1974,2,2,2,12,31
1974,6,1,1,13,31
1974,6,1,1,14,74
1974,9,2,1,16,40
1974,4,2,1,12,78
1974,7,2,1,12,30
1974,3,1,1,12,24
1974,4,1,1,7,61
1974,7,1,1,18,39
1974,5,2,1,9,27
1974,5,2,1,12,22
1974,5,1,1,17,26
1974,10,1,1,9,59
1974, ,2,1,14,26
1974,10,2,1,16,27
1974,8,2,1,16,58
1974,5,1,1,14,50
1974,7,1,1,10,45
1974,9,2,1,13,67
1974,6,2,1,15,23
1974,6,2,1,19,61
1974,5,1,1,8,35
1974,5,2,2,9,38
1974,9,2,2,8,62
1974,8,2,2,5,60
1974,6,1,1,12,69
1974,5,2,1,12,29
1974,6,2,1,7,40
1974,0,2,1,14,40
1974,5,1,1,13,20
1974,10,1,1,15,56
1974,5,2,1,12,50
1974,4,2,1,14,22
1974,10,2,1,12,54
1974,5,1,2,14,34
1974,5,1,2,14,26
1974,9,2,1,10,52
1974,5,2,2,5,74
1974,5,2,2,12,23
1974,7,1,1,17,27
1974,7,1,1,12,56
1974,6,1,1,10,57
1974,6,2,1,13,51
1974,7,2,1,12,41
1974,4,1,1,12,19
1974,4,1,1,8,45
1974,6,2,1,12,48
1974,4,2,1,12,48
1974,7,2,1,18,28
1974,10,1,1,16,27
1974, ,1,1,3,65
1974,10,2,1,14,23
1974,6,2,1,14,22
1974,4,1,1,12,23
1974,5,1,1,8,55
1974,6,2,1,12,25
1974,6,2,1,12,27
1974,4,2,1,12,21
1974,6,1,1,12,27
1974,8,1,1,8,65
1974,7,2,1,15,40
1974,7,2,1,12,46
1974,7,2,1,12,39
1974,4,1,2,9,61
1974,3,1,2,9,66
1974,5,1,2,10,53
1974,5,2,2,9,63
1974,7,2,2,12,33
1974,4,1,1,12,31
1974,5,1,1,8,75
1974,3,2,1,12,23
1974,6,2,1,12,23
1974,4,2,1,8,35
