"","Period","WORDSUM","SEX","RACE","EDUC","AGE","Cohort"
"1",1974,5,1,0,10,69,1905
"2",1974,5,1,0,11,54,1920
"3",1974,1,0,0,0,80,1894
"4",1974,2,0,0,9,59,1915
"5",1974,5,1,0,12,54,1920
"6",1974,8,0,0,14,39,1935
"7",1974,5,1,0,12,54,1920
"8",1974,3,0,1,14,59,1915
"9",1974,6,1,0,13,69,1905
"10",1974,8,0,0,16,24,1950
"11",1974,10,1,0,16,29,1945
"12",1974,10,1,0,16,29,1945
"13",1974,5,0,0,12,54,1920
"14",1974,2,0,0,12,39,1935
"15",1974,9,1,0,16,29,1945
"16",1974,8,1,0,12,34,1940
"17",1974,4,1,0,12,19,1955
"18",1974,6,1,1,16,44,1930
"19",1974,10,0,0,20,54,1920
"20",1974,6,0,0,9,64,1910
"21",1974,9,0,0,19,54,1920
"22",1974,8,1,0,13,39,1935
"23",1974,6,0,0,8,44,1930
"24",1974,8,0,0,12,49,1925
"25",1974,5,1,0,11,19,1955
"26",1974,8,1,0,12,39,1935
"27",1974,4,0,0,14,24,1950
"28",1974,6,1,0,13,54,1920
"29",1974,9,1,0,13,24,1950
"30",1974,6,0,0,11,69,1905
"31",1974,1,0,0,12,44,1930
"32",1974,7,1,0,8,59,1915
"33",1974,7,1,0,12,54,1920
"34",1974,10,1,0,16,69,1905
"35",1974,6,1,0,8,64,1910
"36",1974,4,0,0,12,29,1945
"37",1974,3,0,0,8,80,1894
"38",1974,8,1,0,12,54,1920
"39",1974,7,0,0,12,49,1925
"40",1974,4,0,0,7,69,1905
"41",1974,4,0,0,8,74,1900
"42",1974,4,1,0,6,80,1894
"43",1974,6,1,0,11,34,1940
"44",1974,4,1,0,12,19,1955
"45",1974,3,0,0,7,74,1900
"46",1974,6,1,0,12,59,1915
"47",1974,8,0,0,10,59,1915
"48",1974,3,0,0,9,59,1915
"49",1974,4,1,0,11,74,1900
"50",1974,5,1,0,12,44,1930
"51",1974,9,1,0,12,39,1935
"52",1974,7,0,0,16,69,1905
"53",1974,7,1,0,12,24,1950
"54",1974,7,0,0,14,24,1950
"55",1974,6,1,0,12,49,1925
"56",1974,7,0,0,12,39,1935
"57",1974,4,0,0,8,69,1905
"58",1974,7,1,0,12,39,1935
"59",1974,5,0,0,12,29,1945
"60",1974,6,1,0,16,34,1940
"61",1974,4,1,0,12,29,1945
"62",1974,6,1,0,12,24,1950
"63",1974,5,0,0,8,54,1920
"64",1974,7,1,0,12,59,1915
"65",1974,9,1,0,12,59,1915
"66",1974,4,0,1,12,54,1920
"67",1974,4,1,1,10,54,1920
"68",1974,5,1,0,11,19,1955
"69",1974,5,0,0,8,59,1915
"70",1974,6,1,1,18,44,1930
"71",1974,8,1,0,15,80,1894
"72",1974,4,1,0,12,19,1955
"73",1974,10,0,0,17,34,1940
"74",1974,4,1,1,11,39,1935
"75",1974,6,1,0,12,39,1935
"76",1974,6,0,0,16,29,1945
"77",1974,7,0,0,12,24,1950
"78",1974,10,1,0,17,54,1920
"79",1974,6,1,1,6,59,1915
"80",1974,8,0,0,8,80,1894
"81",1974,5,0,0,8,64,1910
"82",1974,2,0,0,5,74,1900
"83",1974,9,1,0,14,44,1930
"84",1974,9,0,0,16,69,1905
"85",1974,4,1,1,10,39,1935
"86",1974,6,0,0,12,19,1955
"87",1974,7,1,0,13,49,1925
"88",1974,6,1,0,5,79,1895
"89",1974,4,1,0,14,54,1920
"90",1974,7,1,0,16,24,1950
"91",1974,9,1,0,16,24,1950
"92",1974,3,1,1,11,44,1930
"93",1974,4,1,1,13,34,1940
"94",1974,7,0,0,15,39,1935
"95",1974,5,0,0,14,24,1950
"96",1974,6,1,0,12,34,1940
"97",1974,3,1,1,15,29,1945
"98",1974,6,0,0,14,74,1900
"99",1974,3,0,0,12,24,1950
"100",1974,7,0,0,18,39,1935
"101",1974,10,0,0,9,59,1915
"102",1974,6,0,0,12,69,1905
"103",1974,5,1,0,12,29,1945
"104",1974,10,1,0,12,54,1920
"105",1974,5,0,1,14,34,1940
"106",1974,5,1,1,5,74,1900
"107",1974,4,0,0,12,19,1955
"108",1974,7,1,0,12,39,1935
"109",1974,6,0,0,8,59,1915
"110",1974,7,1,0,12,29,1945
"111",1974,5,0,1,11,19,1955
"112",1974,4,1,1,11,49,1925
"113",1974,6,0,0,13,29,1945
"114",1974,5,0,0,12,19,1955
"115",1974,6,1,0,12,24,1950
"116",1974,5,0,0,8,69,1905
"117",1974,5,0,0,12,24,1950
"118",1974,4,0,0,12,44,1930
"119",1974,2,0,0,6,74,1900
"120",1974,5,1,0,8,69,1905
"121",1974,10,1,0,14,24,1950
"122",1974,5,1,0,10,44,1930
"123",1974,4,1,0,11,29,1945
"124",1974,9,0,0,17,49,1925
"125",1974,4,0,0,8,49,1925
"126",1974,6,0,0,14,44,1930
"127",1974,6,1,0,8,59,1915
"128",1974,6,0,0,12,59,1915
"129",1974,4,0,1,10,39,1935
"130",1974,6,1,0,12,49,1925
"131",1974,4,1,1,11,19,1955
"132",1974,2,1,1,8,39,1935
"133",1974,5,0,0,9,54,1920
"134",1974,8,0,0,12,24,1950
"135",1974,7,0,0,14,29,1945
"136",1974,7,0,0,11,54,1920
"137",1974,2,1,0,8,69,1905
"138",1974,3,1,0,10,39,1935
"139",1974,7,0,0,12,24,1950
"140",1974,10,1,0,14,29,1945
"141",1974,9,1,0,17,44,1930
"142",1974,5,0,0,17,69,1905
"143",1974,8,1,0,16,34,1940
"144",1974,9,1,0,16,34,1940
"145",1974,7,1,0,12,29,1945
"146",1974,4,1,0,12,39,1935
"147",1974,5,0,0,13,24,1950
"148",1974,6,0,0,12,44,1930
"149",1974,5,0,0,9,39,1935
"150",1974,9,1,0,12,34,1940
"151",1974,8,0,0,12,44,1930
"152",1974,4,1,0,10,34,1940
"153",1974,10,1,0,12,59,1915
"154",1974,6,1,1,12,34,1940
"155",1974,8,0,0,13,19,1955
"156",1974,8,1,0,12,24,1950
"157",1974,4,0,0,10,29,1945
"158",1974,4,1,1,12,39,1935
"159",1974,8,0,0,12,34,1940
"160",1974,5,0,0,12,29,1945
"161",1974,7,0,0,12,34,1940
"162",1974,10,1,0,16,29,1945
"163",1974,4,1,0,15,64,1910
"164",1974,8,0,0,10,19,1955
"165",1974,10,0,0,18,39,1935
"166",1974,7,1,0,16,24,1950
"167",1974,7,1,0,12,34,1940
"168",1974,3,1,1,12,64,1910
"169",1974,9,0,0,16,54,1920
"170",1974,7,1,1,12,29,1945
"171",1974,5,0,0,12,39,1935
"172",1974,6,1,0,8,39,1935
"173",1974,3,0,1,7,54,1920
"174",1974,4,0,0,11,49,1925
"175",1974,5,0,0,12,24,1950
"176",1974,5,1,0,12,44,1930
"177",1974,7,1,0,12,39,1935
"178",1974,10,1,0,13,69,1905
"179",1974,6,0,1,12,24,1950
"180",1974,8,0,1,11,49,1925
"181",1974,6,1,0,11,44,1930
"182",1974,4,1,0,16,69,1905
"183",1974,7,1,0,10,44,1930
"184",1974,6,0,0,15,64,1910
"185",1974,6,1,0,14,39,1935
"186",1974,10,0,0,12,24,1950
"187",1974,6,1,0,8,59,1915
"188",1974,6,1,0,12,24,1950
"189",1974,7,1,0,16,29,1945
"190",1974,5,0,0,8,64,1910
"191",1974,4,1,0,7,69,1905
"192",1974,7,1,0,12,54,1920
"193",1974,7,0,0,12,29,1945
"194",1974,4,0,0,8,79,1895
"195",1974,1,1,0,8,69,1905
"196",1974,5,1,0,6,34,1940
"197",1974,9,1,0,20,29,1945
"198",1974,0,0,0,9,19,1955
"199",1974,10,1,0,13,29,1945
"200",1974,7,1,1,12,19,1955
"201",1974,8,0,0,13,29,1945
"202",1974,5,0,0,8,64,1910
"203",1974,6,1,0,12,19,1955
"204",1974,4,1,0,15,59,1915
"205",1974,10,0,0,15,49,1925
"206",1974,6,1,0,16,29,1945
"207",1974,8,1,0,12,39,1935
"208",1974,5,0,0,7,49,1925
"209",1974,6,0,0,7,74,1900
"210",1974,4,1,0,10,49,1925
"211",1974,8,0,0,12,34,1940
"212",1974,10,0,0,7,59,1915
"213",1974,9,1,0,11,44,1930
"214",1974,2,0,0,8,79,1895
"215",1974,4,1,0,11,74,1900
"216",1974,10,0,0,16,24,1950
"217",1974,6,1,0,12,19,1955
"218",1974,7,0,0,14,49,1925
"219",1974,6,1,0,12,24,1950
"220",1974,5,0,0,12,29,1945
"221",1974,5,1,0,12,29,1945
"222",1974,8,1,0,12,44,1930
"223",1974,9,0,0,16,49,1925
"224",1974,6,1,0,12,54,1920
"225",1974,6,0,0,12,39,1935
"226",1974,3,1,0,12,34,1940
"227",1974,8,0,0,12,69,1905
"228",1974,8,1,0,12,44,1930
"229",1974,7,0,0,16,24,1950
"230",1974,3,1,0,13,29,1945
"231",1974,6,0,0,14,44,1930
"232",1974,8,0,0,17,39,1935
"233",1974,6,1,0,12,34,1940
"234",1974,4,0,0,8,34,1940
"235",1974,6,1,0,11,29,1945
"236",1974,5,0,0,11,19,1955
"237",1974,6,0,0,8,59,1915
"238",1974,2,1,0,7,79,1895
"239",1974,3,0,0,10,24,1950
"240",1974,10,0,0,11,19,1955
"241",1974,6,0,0,10,34,1940
