"","YEAR","SEX","RACE","EDUC","AGE"
"1",1974,1,1,14,21
"2",1974,1,1,16,41
"3",1974,2,1,10,83
"4",1974,2,1,10,69
"5",1974,2,1,12,58
"6",1974,1,1,16,30
"7",1974,1,1,17,48
"8",1974,1,1,10,67
"9",1974,2,1,12,51
"10",1974,2,1,11,54
"11",1974,1,2,6,89
"12",1974,1,2,5,71
"13",1974,2,2,11,27
"14",1974,2,2,12,30
"15",1974,2,2,14,22
"16",1974,1,1,12,23
"17",1974,1,1,8,63
"18",1974,1,1,0,80
"19",1974,2,1,8,71
"20",1974,2,2,10,48
"21",1974,1,2,8,25
"22",1974,1,2,12,72
"23",1974,2,2,3,73
"24",1974,2,2,8,31
"25",1974,2,2,3,65
"26",1974,1,1,9,59
"27",1974,1,1,15,53
"28",1974,2,1,7,60
"29",1974,2,1,12,54
"30",1974,2,1,13,35
"31",1974,1,1,12,51
"32",1974,1,1,8,58
"33",1974,2,1,12,21
"34",1974,2,1,8,72
"35",1974,2,3,12,48
"36",1974,1,1,10,26
"37",1974,1,1,14,39
"38",1974,2,1,12,58
"39",1974,2,1,8,40
"40",1974,2,1,16,23
"41",1974,1,1,16,28
"42",1974,1,1,17,47
"43",1974,1,1,13,67
"44",1974,2,1,12,54
"45",1974,2,1,12,50
"46",1974,1,1,14,32
"47",1974,1,1,13,67
"48",1974,1,1,10,70
"49",1974,2,1,8,36
"50",1974,2,1,12,57
"51",1974,1,1,14,22
"52",1974,1,1,14,58
"53",1974,2,1,12,71
"54",1974,2,1,14,83
"55",1974,2,1,15,52
"56",1974,1,2,14,59
"57",1974,1,2,5,83
"58",1974,2,2,8,67
"59",1974,2,2,9,61
"60",1974,2,2,14,55
"61",1974,1,1,12,57
"62",1974,1,1,12,52
"63",1974,2,1,13,69
"64",1974,2,1,12,40
"65",1974,2,1,11,63
"66",1974,1,1,16,24
"67",1974,1,1,17,72
"68",1974,1,1,14,51
"69",1974,2,1,16,29
"70",1974,2,1,16,29
"71",1974,1,1,11,18
"72",1974,1,1,12,54
"73",1974,2,1,12,36
"74",1974,2,1,12,27
"75",1974,2,1,11,66
"76",1974,1,1,12,66
"77",1974,1,1,12,39
"78",1974,1,1,12,37
"79",1974,2,1,8,52
"80",1974,2,1,7,71
