"","country","X2","X3","X4","Units","year2018","year2019","X8"
"1","AFGHANISTAN","Departures",NA,NA,NA,NA,NA,NA
"2","AFGHANISTAN",NA,"Total departures",NA,"Thousands","..","..",NA
"3","AFGHANISTAN",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"4","AFGHANISTAN",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"5","ALBANIA","Departures",NA,NA,NA,NA,NA,NA
"6","ALBANIA",NA,"Total departures",NA,"Thousands","5415","5922",NA
"7","ALBANIA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"8","ALBANIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"9","ALGERIA","Departures",NA,NA,NA,NA,NA,NA
"10","ALGERIA",NA,"Total departures",NA,"Thousands","..","..",NA
"11","ALGERIA",NA,NA,"Overnights visitors (tourists)","Thousands","5610","5732",NA
"12","ALGERIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"13","AMERICAN SAMOA","Departures",NA,NA,NA,NA,NA,NA
"14","AMERICAN SAMOA",NA,"Total departures",NA,"Thousands","..","..",NA
"15","AMERICAN SAMOA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"16","AMERICAN SAMOA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"17","AMERICAN SAMOA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"18","AMERICAN SAMOA",NA,"Travel",NA,"US$ Millions","..","..",NA
"19","AMERICAN SAMOA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"20","ANDORRA","Departures",NA,NA,NA,NA,NA,NA
"21","ANDORRA",NA,"Total departures",NA,"Thousands","..","..",NA
"22","ANDORRA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"23","ANDORRA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"24","ANDORRA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"25","ANDORRA",NA,"Travel",NA,"US$ Millions","..","..",NA
"26","ANDORRA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"27","ANGOLA","Departures",NA,NA,NA,NA,NA,NA
"28","ANGOLA",NA,"Total departures",NA,"Thousands","..","..",NA
"29","ANGOLA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"30","ANGOLA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"31","ANGOLA","Tourism expenditure in other countries",NA,NA,"US$ Millions","762","717",NA
"32","ANGOLA",NA,"Travel",NA,"US$ Millions","555","469",NA
"33","ANGOLA",NA,"Passenger transport",NA,"US$ Millions","207","248",NA
"34","ANGUILLA","Departures",NA,NA,NA,NA,NA,NA
"35","ANGUILLA",NA,"Total departures",NA,"Thousands","..","..",NA
"36","ANGUILLA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"37","ANGUILLA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"38","ANGUILLA","Tourism expenditure in other countries",NA,NA,"US$ Millions","14.5","..",NA
